"","rk","player_name","pos","age","tm","g","gs","mp","fg","fga","fg_2","x3p","x3pa","x3p_2","x2p","x2pa","x2p_2","ft","fta","ft_2","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"1",1,"Precious Achiuwa","C",22,"TOR",73,28,1725,5.5,12.6,0.439,1.2,3.3,0.359,4.4,9.3,0.468,1.6,2.7,0.595,3,6.8,9.9,1.7,0.8,0.9,1.8,3.2,13.9
"2",2,"Steven Adams","C",28,"MEM",76,75,1999,3.8,6.9,0.547,0,0,0,3.8,6.9,0.548,1.9,3.6,0.543,6.3,7.4,13.7,4.6,1.2,1.1,2.1,2.8,9.5
"3",3,"Bam Adebayo","C",24,"MIA",56,56,1825,8,14.4,0.557,0,0.1,0,8,14.3,0.562,5,6.7,0.753,2.7,8.4,11.1,3.7,1.6,0.9,2.9,3.4,21.1
"4",4,"Santi Aldama","PF",21,"MEM",32,0,360,5.3,13.2,0.402,0.6,4.8,0.125,4.7,8.4,0.56,2,3.2,0.625,3.3,5.4,8.7,2.1,0.6,1,1.6,3.6,13.2
"5",5,"LaMarcus Aldridge","C",36,"BRK",47,12,1050,8.6,15.7,0.55,0.5,1.6,0.304,8.2,14.1,0.578,3.1,3.5,0.873,2.5,6.3,8.8,1.4,0.5,1.6,1.5,2.7,20.8
"6",6,"Nickeil Alexander-Walker","SG",23,"TOT",65,21,1466,6.2,16.7,0.372,2.6,8.3,0.311,3.6,8.4,0.433,2,2.7,0.743,0.9,3.7,4.6,3.8,1.1,0.6,2.3,2.5,17
"7",6,"Nickeil Alexander-Walker","SG",23,"NOP",50,19,1317,6.5,17.3,0.375,2.6,8.3,0.311,3.9,8.9,0.434,1.9,2.7,0.722,1,3.5,4.5,3.8,1.1,0.5,2.3,2.4,17.5
"8",6,"Nickeil Alexander-Walker","SG",23,"UTA",15,2,149,3.9,11.6,0.333,2.4,8,0.303,1.4,3.6,0.4,2.7,2.9,0.917,0.2,5.3,5.6,4.1,1.2,1,1.9,3.6,12.8
"9",7,"Grayson Allen","SG",26,"MIL",66,61,1805,5.1,11.3,0.448,3.2,7.8,0.409,1.9,3.6,0.533,1.3,1.5,0.865,0.6,3.8,4.4,2,0.9,0.4,0.9,1.9,14.6
"10",8,"Jarrett Allen","C",23,"CLE",56,56,1809,7.3,10.8,0.677,0,0.2,0.1,7.3,10.6,0.688,3.3,4.6,0.708,3.8,8.2,12,1.8,0.9,1.5,1.9,1.9,18
