"","player_name","player_height_inches","player_weight","mp","raptor_offense","raptor_defense","raptor_total","POS","AGE","TM","G","GS","MP","FG","FGA","FG_pct","FG3","FGA3","FG3_pct","FG2","FGA2","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","Fouls","PTS"
"237","Paris Bass",80,200,7,3.16615592030101,-5.33826661109511,-2.17211069079411,"SF",26,"PHO",2,0,7,10.3,30.9,0.333,0,10.3,0,10.3,0.5,10.3,10.3,1,10.3,10.3,20.6,0,5.1,0,10.3,10.3,30.9
"238","Patrick Williams",79,215,445,-1.3219293604602,-1.3745601700932,-2.6964895305534,"PF",20,"CHI",17,9,422,4.6,8.7,0.529,1.3,2.5,0.517,3.3,0.534,2.6,3.5,0.732,1.5,4.4,5.9,1.3,0.8,0.8,1.4,2.4,13.1
"239","Paul George",80,220,1077,1.14331492277787,3.89572583138193,5.0390407541598,"SF",31,"LAC",31,31,1077,9,21.3,0.421,3,8.6,0.354,5.9,0.467,4.2,4.9,0.858,0.4,6.7,7.1,5.9,2.2,0.4,4.2,2.5,25.2
"240","Paul Watson",78,210,156,-5.0307645638121,-6.13512584859281,-11.1658904124049,"SF",27,"OKC",9,3,156,2.8,8.1,0.343,1.4,6,0.231,1.4,0.667,0.2,0.5,0.5,0.7,5.5,6.2,1.8,0.7,0.7,0.9,2.3,7.2
"241","Payton Pritchard",73,195,1009,1.44335633248405,-0.612938055797946,0.830418276686106,"SG",24,"BOS",71,2,1001,5.8,13.4,0.429,3.6,8.8,0.412,2.1,0.461,0.8,0.8,1,1.2,3.7,4.8,5,0.9,0.2,1.5,2.2,15.9
"242","Precious Achiuwa",80,225,1783,-2.54454163866906,2.33101000106146,-0.213531637607601,"C",22,"TOR",73,28,1725,5.5,12.6,0.439,1.2,3.3,0.359,4.4,0.468,1.6,2.7,0.595,3,6.8,9.9,1.7,0.8,0.9,1.8,3.2,13.9
"243","Quinndary Weatherspoon",75,205,73,0.218842197963234,-4.32395709777158,-4.10511489980835,"SG",25,"GSW",11,0,73,5.9,10.4,0.571,0.5,2.5,0.2,5.4,0.688,2.5,2.5,1,1,5.9,6.9,2.5,0.5,0.5,1.5,7.4,14.8
"244","RJ Barrett",78,214,2417,-0.642853744706586,-0.824248440815668,-1.46710218552226,"SF",21,"NYK",70,70,2417,7.3,17.8,0.408,2.1,6,0.342,5.2,0.442,4.3,6,0.714,1,5.1,6.1,3.1,0.6,0.2,2.2,2.1,20.9
"245","Rayjon Tucker",75,209,71,4.01262839074496,-2.27489469478498,1.73773369595998,"SG",24,"TOT",5,0,71,3,4.6,0.667,2,2.5,0.8,1,0.5,2.5,3.5,0.714,1.5,2.5,4.1,5.1,2,0,0.5,2.5,10.6
"246","Reggie Jackson",74,208,2337,-0.867576586194251,-0.0384498457251078,-0.906026431919358,"SG",31,"LAC",75,75,2337,7.4,18.8,0.392,2.6,7.9,0.326,4.8,0.439,2.1,2.5,0.847,0.6,3.6,4.2,5.5,0.8,0.2,2.7,2.4,19.5
"247","Reggie Perry",80,250,187,-4.60629231157198,-3.65292497421537,-8.25921728578735,"PF",21,"TOT",10,1,187,7.7,15.2,0.506,0.6,3.1,0.188,7.1,0.587,1.7,2.9,0.6,2.9,6.2,9,2.3,1.7,1.2,2.1,6.4,17.7
"248","Robert Woodard II",78,235,42,-4.975616894064,1.81478803487329,-3.16082885919071,"SF",22,"SAC",12,0,42,1.7,13.7,0.125,0.9,3.4,0.25,0.9,0.083,1.7,1.7,1,4.3,5.1,9.4,2.6,0.9,0.9,0.9,2.6,6
"249","Robin Lopez",84,281,612,-2.69506050241632,-2.27932506525731,-4.97438556767362,"C",33,"ORL",36,9,612,6.5,11.7,0.553,0.1,0.4,0.333,6.4,0.56,1.9,3.2,0.593,4,3.4,7.4,3.2,0.1,1.1,2.6,3.9,14.9
"250","Rodney McGruder",76,205,754,-0.227892992058185,-0.675303322790265,-0.90319631484845,"SG",30,"DET",51,2,754,4.7,10.7,0.436,2.8,7,0.397,1.9,0.506,0.9,1.2,0.731,1.5,3.8,5.3,2.3,1,0.3,1.1,2.8,13
"251","Romeo Langford",77,216,771,-2.33819017138582,0.8242818521961,-1.51390831918972,"SG",22,"TOT",48,5,771,3.9,8.9,0.435,1.4,4,0.341,2.5,0.509,1.1,2,0.548,1.4,3.6,5,1,1,0.7,0.7,2.2,10.2
"252","Rudy Gay",80,250,1038,-0.160897489632042,0.810289317524489,0.649391827892447,"PF",35,"UTA",55,1,1038,5.4,13.1,0.414,2.4,7,0.345,3,0.494,2.2,2.7,0.785,1.9,6.5,8.4,1.9,0.9,0.7,1.6,3.3,15.5
"253","Rudy Gobert",85,258,2193,-0.124571834296509,7.25868591204602,7.13411407774951,"C",29,"UTA",66,66,2120,6.1,8.6,0.713,0,0.1,0,6.1,0.718,5.1,7.5,0.69,4.1,12.3,16.4,1.2,0.8,2.3,2,3,17.4
"254","Russell Westbrook",75,200,2678,-1.15689985021813,-1.97528366756308,-3.13218351778122,"PG",33,"LAL",78,78,2678,7.4,16.6,0.444,1.1,3.6,0.298,6.3,0.485,3.6,5.4,0.667,1.5,6.3,7.8,7.4,1,0.3,4,3.2,19.4
